,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2008-05-09,22.0,23.43,21.97,22.53,20.70985283,50758800,0.0000,1.0,18.7483,19.2532,57.7393,68.7659,57.5424,0.2548,0.6328,0.3780,16.9678,124.6153,100.0000,10.0000,18.7483,16.0511,21.4454,-418627845.0952,1053614384.0000
2008-05-08,22.18,22.25,21.01,21.95,20.1767097034,34000000,0.0000,1.0,18.5644,19.0999,55.5691,80.5655,69.2081,0.2681,0.5824,0.3143,16.6508,92.9438,95.0000,15.0000,18.5644,15.9266,21.2022,-406807302.6349,1002855584.0000
2008-05-07,22.69,22.89,21.82,22.01,20.2318624406,17890800,0.0000,1.0,18.4693,18.9865,55.8509,88.4479,79.5471,0.3166,0.5639,0.2473,16.8512,138.2761,100.0000,20.0000,18.4693,15.9357,21.0028,-424355689.7289,1036855584.0000
2008-05-06,21.9,22.58,21.56,22.53,20.70985283,18225900,0.0000,1.0,18.3539,18.8555,58.2850,93.0532,92.9413,0.3583,0.5265,0.1682,16.5039,161.0371,100.0000,25.0000,18.3539,15.9448,20.7630,-412818631.7832,1054746384.0000
2008-05-05,22.42,22.47,21.91,21.96,20.1859018263,23584800,0.0000,1.0,18.1972,18.6603,56.3018,88.7493,92.8553,0.3438,0.4224,0.0786,16.2808,179.7534,95.0000,30.0000,18.1972,16.0254,20.3690,-429257678.8443,1036520484.0000
2008-05-02,22.0,22.52,21.755,22.52,20.7006607071,28275400,0.0000,1.0,18.0717,18.4997,58.9161,78.6282,93.3629,0.3441,0.3367,-0.0073,15.7954,230.6223,100.0000,35.0000,18.0717,16.0926,20.0508,-409884450.2768,1060105284.0000
2008-05-01,20.8,21.55,20.7,21.5,19.7630641742,25365600,0.0000,1.0,17.8998,18.2680,55.3268,67.1122,80.0296,0.2634,0.1701,-0.0934,15.2843,186.4416,100.0000,40.0000,17.8998,16.3038,19.4958,-438159850.2768,1031829884.0000
2008-04-30,20.43,20.77,20.3,20.55,18.8898125014,26708000,0.0000,1.0,17.8300,18.1106,51.5843,60.3331,62.4921,0.2096,0.0504,-0.1592,15.1756,133.3949,0.0000,45.0000,17.8300,16.4600,19.1999,-460541262.0453,1006464284.0000
2008-04-29,19.58,20.45,19.57,20.2,18.5680882009,14335200,0.0000,1.0,17.8212,18.0286,50.1218,64.6127,58.8150,0.1974,-0.0143,-0.2116,15.4582,79.2951,5.0000,50.0000,17.8212,16.4764,19.1661,-462246028.0083,979756284.0000
2008-04-28,20.06,20.36,19.71,19.79,18.1912111631,13392500,0.0000,1.0,17.8580,17.9718,48.3867,70.5604,59.6922,0.1972,-0.0638,-0.2610,15.9307,58.7326,10.0000,55.0000,17.8580,16.3982,19.3178,-468436228.0114,965421084.0000
2008-04-25,20.14,20.2,19.51,20.15,18.5221275865,13805200,0.0000,1.0,17.8580,17.9487,49.8327,79.7635,75.3307,0.2226,-0.0877,-0.3103,16.3409,59.6293,15.0000,60.0000,17.8580,16.3982,19.3178,-458340343.3970,978813584.0000
2008-04-24,20.6,20.66,19.65,19.95,18.3382851291,16394100,0.0000,1.0,17.8364,17.8883,49.0288,82.7097,76.6584,0.2153,-0.1506,-0.3659,16.8557,76.1390,20.0000,65.0000,17.8364,16.4040,19.2688,-470144789.7722,965008384.0000
2008-04-23,19.77,20.66,19.51,20.44,18.7886991498,25512400,0.0000,1.0,17.8107,17.8410,50.9282,82.1875,87.3014,0.2097,-0.2100,-0.4197,17.3163,97.4073,25.0000,70.0000,17.8107,16.3969,19.2244,-463489759.0802,981402484.0000
2008-04-22,19.6,19.72,19.08,19.5,17.9246395998,14691700,0.0000,1.0,17.7753,17.7412,47.2003,72.3236,84.1694,0.1435,-0.3287,-0.4721,17.8012,9.4128,30.0000,75.0000,17.7753,16.4273,19.1232,-479240892.9927,955890084.0000
2008-04-21,18.88,20.0,18.87,19.87,18.2647481461,16997300,0.0000,1.0,17.8130,17.7219,48.5803,56.2959,75.0918,0.1207,-0.3873,-0.5080,18.6988,20.4519,35.0000,80.0000,17.8130,16.4094,19.2165,-483832049.2418,970581784.0000
2008-04-18,19.13,19.32,18.76,19.02,17.483417702,14338500,0.0000,1.0,17.8203,17.6648,45.0755,38.3829,57.7095,0.0470,-0.4912,-0.5382,19.6436,-42.0716,40.0000,0.0000,17.8203,16.4059,19.2348,-496918466.0570,953584484.0000
2008-04-17,17.97,18.65,17.9599,18.58,17.0789642956,14924200,0.0000,1.0,17.7973,17.6838,43.1707,22.1864,36.0862,0.0128,-0.5371,-0.5499,20.2823,-101.6178,45.0000,5.0000,17.7973,16.3472,19.2474,-495894287.4879,939245984.0000
2008-04-16,18.82,19.08,18.48,18.84,17.3179594903,16170900,0.0000,1.0,17.7550,17.7475,44.0279,18.4221,21.3530,0.0064,-0.5467,-0.5531,20.5754,-55.6277,50.0000,10.0000,17.7550,16.1797,19.3304,-507790827.7282,954170184.0000
2008-04-15,18.0,18.19,17.61,18.12,16.6561266435,10997900,0.0000,1.0,17.7610,17.7927,40.9430,24.8598,9.1198,-0.0205,-0.5752,-0.5547,21.1174,-136.1326,55.0000,0.0000,17.7610,16.1915,19.3306,-511025007.7294,937999284.0000
2008-04-14,18.46,18.5,17.8,17.91,16.4630920632,19500100,0.0000,1.0,17.7491,17.9124,40.0272,36.6002,24.7934,0.0136,-0.5360,-0.5496,21.1520,-125.0899,60.0000,5.0000,17.7491,16.1429,19.3553,-519368242.2119,927001384.0000
2008-04-11,19.5,19.62,18.41,18.53,17.0330036813,27657000,0.0000,1.0,17.7679,18.0649,41.8474,38.3219,40.6663,0.0945,-0.4584,-0.5530,21.2683,-53.9497,65.0000,10.0000,17.7679,16.2145,19.3213,-505996745.0690,946501484.0000
2008-04-10,19.71,20.51,19.29,19.88,18.273940269,27304600,0.0000,1.0,17.8217,18.1736,46.1925,29.2490,44.3409,0.1658,-0.4108,-0.5766,21.6543,55.3765,70.0000,15.0000,17.8217,16.2996,19.3438,-483825431.0212,974158484.0000
2008-04-09,19.34,19.7,19.16,19.5,17.9246395998,16880800,0.0000,1.0,17.7592,18.1630,44.6558,21.0170,29.9584,0.1477,-0.4704,-0.6181,22.4798,13.3910,75.0000,20.0000,17.7592,16.2140,19.3043,-482930198.2365,946853884.0000
2008-04-08,19.0,19.74,19.0,19.12,17.5753389307,15986900,0.0000,1.0,17.7380,18.1881,43.1124,22.3975,13.4478,0.1510,-0.5040,-0.6550,22.8578,-1.2661,80.0000,25.0000,17.7380,16.1910,19.2851,-487306701.9364,929973084.0000
2008-04-07,19.24,19.52,19.08,19.23,17.6764522823,18237400,0.0000,1.0,17.7063,18.2526,43.4456,39.8736,19.6448,0.1887,-0.5040,-0.6927,23.2556,0.2717,85.0000,30.0000,17.7063,16.1217,19.2910,-476504742.4781,945959984.0000
