,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Down,Aroon Up,Real Middle Band,Real Upper Band,Real Lower Band,Chaikin A/D,OBV
2015-10-16,72.5,73.64,71.21,71.99,71.99,15950105,0.0000,1.0,64.2020,66.6200,58.9324,72.5973,76.7812,1.3641,1.3532,-0.0109,27.3799,135.2128,35.0000,100.0000,64.2020,73.7001,54.7039,-325118751.0986,124386603.0000
2015-10-15,69.34,72.44,69.26,71.78,71.78,18202981,0.0000,1.0,63.8900,66.0548,58.6216,77.1229,83.0772,1.3905,1.0386,-0.3519,28.2094,135.0452,40.0000,100.0000,63.8900,72.7315,55.0485,-319408219.6789,108436498.0000
2015-10-14,69.5,69.7,67.425,68.54,68.54,12283664,0.0000,1.0,63.6010,65.4521,53.4587,80.6232,88.5335,1.3429,0.6434,-0.6995,29.2927,98.5716,45.0000,90.0000,63.6010,71.7422,55.4598,-330055246.3015,90233517.0000
2015-10-13,69.49,70.32,68.38,69.68,69.68,13052831,0.0000,1.0,63.5355,65.1271,55.7853,91.4855,92.5865,1.4948,0.4595,-1.0353,30.7079,120.7341,50.0000,95.0000,63.5355,71.5365,55.5345,-329812272.7279,102517181.0000
2015-10-12,69.64,70.47,69.0,70.3,70.3,15549080,0.0000,1.0,63.2940,64.6478,57.0685,93.4916,92.7081,1.5110,0.1020,-1.4090,32.2590,147.1046,55.0000,100.0000,63.2940,70.8158,55.7722,-334252926.5732,115570012.0000
2015-10-09,68.2,69.45,67.31,68.71,68.71,14762889,0.0000,1.0,62.9090,64.0528,54.5197,92.7825,91.6941,1.3678,-0.4189,-1.7867,33.7663,137.5966,60.0000,100.0000,62.9090,69.7108,56.1072,-346205620.7229,100020932.0000
2015-10-08,66.04,68.41,65.96,67.7,67.7,18667535,0.0000,1.0,62.7050,63.5626,52.8297,91.8502,91.3421,1.2129,-0.9158,-2.1287,35.5402,125.7318,65.0000,100.0000,62.7050,69.0264,56.3836,-350758661.2556,85258043.0000
2015-10-07,64.84,66.66,64.38,66.28,66.28,15796463,0.0000,1.0,62.5115,63.1271,50.3663,90.4498,86.7322,0.9981,-1.4338,-2.4319,37.2052,95.2609,70.0000,25.0000,62.5115,68.4338,56.5892,-358606645.3576,66590508.0000
2015-10-06,63.72,64.73,63.28,63.92,63.92,9616109,0.0000,1.0,62.3995,62.7952,45.9060,91.7263,78.1204,0.7519,-1.9296,-2.6814,38.5998,49.3818,75.0000,30.0000,62.3995,68.1135,56.6855,-369137620.6910,50794045.0000
2015-10-05,63.47,64.775,62.2,63.93,63.93,13582718,0.0000,1.0,62.2490,62.6768,45.9226,78.0206,59.3964,0.5754,-2.2940,-2.8694,39.6389,42.3626,80.0000,35.0000,62.2490,67.9535,56.5445,-368010214.8082,60410154.0000
