,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2018-01-23,12.82,13.0,12.76,12.94,12.94,46005571,0.0000,1.0,11.6925,11.8905,64.8953,80.1016,82.2557,0.3507,0.1182,0.4689,17.7586,119.1079,5.0000,100.0000,13.3144,11.6925,10.0706,-1937742781.8999,1696172668.0000
2018-01-22,12.61,12.74,12.37,12.65,12.65,34419605,0.0000,1.0,11.5900,11.7800,62.5959,77.9830,75.9961,0.3212,0.1109,0.4321,17.3474,97.4399,10.0000,95.0000,13.1412,11.5900,10.0388,-1960745567.3999,1650167097.0000
2018-01-19,12.56,12.88,12.54,12.59,12.59,45638452,0.0000,1.0,11.5065,11.6884,62.1080,76.3981,82.0532,0.2935,0.1150,0.4084,17.1638,114.0223,15.0000,100.0000,12.9992,11.5065,10.0138,-1978420499.6972,1615747492.0000
2018-01-18,12.18,12.68,12.15,12.47,12.47,61621147,0.0000,1.0,11.4245,11.5935,61.1452,70.7391,75.8996,0.2647,0.1136,0.3783,16.7089,102.9065,20.0000,100.0000,12.8487,11.4245,10.0003,-1946205121.8148,1570109040.0000
2018-01-17,11.9,12.19,11.82,12.18,12.18,38563690,0.0000,1.0,11.3500,11.5013,58.7380,66.1634,71.2416,0.2363,0.1103,0.3467,16.4182,76.0784,0.0000,60.0000,12.7017,11.3500,9.9983,-1958994416.4752,1508487893.0000
2018-01-16,12.05,12.2,11.8,11.91,11.91,41596214,0.0000,1.0,11.2555,11.4298,56.3460,61.0102,65.0760,0.2087,0.1220,0.3307,16.6294,74.7598,0.0000,65.0000,12.6260,11.2555,9.8850,-1995473582.6914,1469924203.0000
2018-01-12,11.82,12.07,11.8,12.02,12.02,46862584,0.0000,1.0,11.1665,11.3793,57.6393,59.5171,62.1725,0.1783,0.1548,0.3330,16.8518,83.4187,0.0000,70.0000,12.5857,11.1665,9.7473,-1976755286.3914,1511520417.0000
2018-01-11,12.07,12.19,11.9,12.14,12.14,33904455,0.0000,1.0,11.0710,11.3119,59.0437,62.1653,55.7820,0.1396,0.1804,0.3199,17.2296,107.2379,0.0000,75.0000,12.5046,11.0710,9.6374,-2006261357.7988,1558383001.0000
2018-01-10,11.63,12.15,11.56,11.96,11.96,51025659,0.0000,1.0,10.9590,11.2247,57.5705,71.6833,60.5969,0.0945,0.1919,0.2863,17.4927,103.5857,5.0000,80.0000,12.3911,10.9590,9.5269,-2028474621.4195,1524478546.0000
2018-01-09,12.0,12.02,11.71,11.82,11.82,62071489,0.0000,1.0,10.8690,11.1473,56.4119,76.8881,70.1169,0.0465,0.2111,0.2576,17.8109,113.2860,10.0000,85.0000,12.2639,10.8690,9.4741,-2046636296.6568,1473452887.0000
2018-01-08,12.01,12.3,11.85,12.28,12.28,62896703,0.0000,1.0,10.7750,11.0765,61.6679,81.1563,84.3361,-0.0063,0.2378,0.2315,17.9529,165.1894,15.0000,90.0000,12.1542,10.7750,9.3958,-2028615541.7859,1535524376.0000
2018-01-05,12.19,12.22,11.66,11.88,11.88,63187983,0.0000,1.0,10.6630,10.9498,58.4716,72.7277,76.2115,-0.0657,0.2137,0.1480,17.9202,167.1772,0.0000,95.0000,11.8906,10.6630,9.4354,-2085921426.7414,1472627673.0000
2018-01-04,12.1,12.43,11.97,12.12,12.12,108512405,0.0000,1.0,10.5690,10.8519,61.3894,63.8210,82.9213,-0.1192,0.1991,0.0799,17.9568,240.9627,0.0000,100.0000,11.6930,10.5690,9.4450,-2072381144.6700,1535815656.0000
2018-01-03,11.61,12.14,11.36,11.55,11.55,150097565,0.0000,1.0,10.4585,10.7184,56.4907,45.9007,59.0503,-0.1689,0.1364,-0.0326,17.5941,219.0221,5.0000,100.0000,11.3641,10.4585,9.5529,-2034637699.4526,1427303251.0000
2018-01-02,10.42,11.02,10.34,10.98,10.98,43479727,0.0000,1.0,10.3825,10.6308,50.5278,37.2961,49.4915,-0.2030,0.0854,-0.1176,17.4549,83.7595,10.0000,60.0000,11.1542,10.3825,9.6108,-1957664589.1962,1277205686.0000
2017-12-29,10.57,10.58,10.27,10.28,10.28,26321111,0.0000,1.0,10.3700,10.5941,41.1121,31.2744,29.1604,-0.2244,0.0580,-0.1664,18.2193,-0.9197,15.0000,65.0000,11.1100,10.3700,9.6300,-1996029054.1962,1233725959.0000
2017-12-28,10.57,10.64,10.43,10.55,10.55,18345480,0.0000,1.0,10.4005,10.6271,44.1942,36.5504,33.2363,-0.2389,0.0839,-0.1550,18.3652,26.1496,20.0000,70.0000,11.1728,10.4005,9.6282,-1971406079.3897,1260047070.0000
2017-12-27,10.45,10.74,10.4,10.53,10.53,22780900,0.0000,1.0,10.4145,10.6353,43.8982,46.7638,31.4265,-0.2599,0.0942,-0.1657,18.7139,24.4569,25.0000,0.0000,11.2070,10.4145,9.6220,-1974026862.2469,1241701590.0000
2017-12-26,10.38,10.58,10.34,10.46,10.46,20362897,0.0000,1.0,10.4465,10.6463,42.8912,62.7250,44.9883,-0.2834,0.1086,-0.1748,19.0809,0.1134,30.0000,0.0000,11.3041,10.4465,9.5889,-1968666650.4822,1218920690.0000
2017-12-22,10.75,10.77,10.2,10.54,10.54,50572874,0.0000,1.0,10.5010,10.6659,43.7437,76.8163,63.8764,-0.3106,0.1337,-0.1769,19.2250,-1.5055,35.0000,5.0000,11.4844,10.5010,9.5176,-1968666650.4822,1239283587.0000
2017-12-21,10.98,11.08,10.87,10.89,10.89,21645217,0.0000,1.0,10.5430,10.6792,47.6829,85.7509,79.3103,-0.3440,0.1590,-0.1850,19.3766,53.1507,40.0000,10.0000,11.5986,10.5430,9.4874,-1978426327.9208,1289856461.0000
2017-12-20,11.1,11.18,10.8,10.98,10.98,31053753,0.0000,1.0,10.5670,10.6570,48.7554,88.9979,87.2621,-0.3838,0.1553,-0.2284,20.3482,53.2107,45.0000,15.0000,11.6736,10.5670,9.4604,-1960904009.3970,1311501678.0000
2017-12-19,11.0,11.19,10.87,10.95,10.95,43445290,0.0000,1.0,10.5880,10.6230,48.3878,86.4257,90.6804,-0.4226,0.1329,-0.2896,21.3710,50.8999,50.0000,20.0000,11.7402,10.5880,9.4358,-1959269601.3443,1280447925.0000
2017-12-18,10.6,11.0,10.51,10.98,10.98,62789226,0.0000,1.0,10.6075,10.5886,48.7198,76.6689,89.0512,-0.4558,0.0953,-0.3605,22.4517,26.1411,55.0000,0.0000,11.7961,10.6075,9.4189,-1937546956.3443,1323893215.0000
2017-12-15,10.13,10.32,10.02,10.29,10.29,42459234,0.0000,1.0,10.6275,10.5474,39.6751,67.0238,79.5455,-0.4796,0.0309,-0.4488,23.4279,-50.2639,60.0000,5.0000,11.8534,10.6275,9.4016,-1995210531.2423,1261103989.0000
2017-12-14,10.1,10.17,9.96,10.13,10.13,26491754,0.0000,1.0,10.6755,10.5745,37.2365,55.1020,61.4100,-0.4874,0.0027,-0.4846,23.3938,-70.0449,65.0000,10.0000,11.9198,10.6755,9.4312,-2029177918.4423,1218644755.0000
2017-12-13,9.97,10.21,9.95,10.11,10.11,41201508,0.0000,1.0,10.7225,10.6213,36.9337,47.8916,60.1158,-0.4881,-0.0190,-0.5071,23.0809,-78.1955,70.0000,15.0000,11.9518,10.7225,9.4932,-2045577575.6804,1192153001.0000
2017-12-12,10.13,10.14,9.88,9.9,9.9,35843064,0.0000,1.0,10.7730,10.6751,33.7459,35.6327,43.7801,-0.4833,-0.0430,-0.5263,22.7516,-102.7625,75.0000,20.0000,11.9803,10.7730,9.5657,-2055085615.9881,1150951493.0000
2017-12-11,9.97,10.16,9.96,10.16,10.16,29359732,0.0000,1.0,10.8325,10.7567,35.8790,28.1075,39.7788,-0.4725,-0.0493,-0.5218,22.2812,-103.0861,80.0000,25.0000,11.9775,10.8325,9.6875,-2024756869.5265,1186794557.0000
2017-12-08,10.15,10.2,9.92,9.94,9.94,34582737,0.0000,1.0,10.8875,10.8195,32.4464,20.2981,23.3392,-0.4602,-0.0747,-0.5350,21.8584,-131.5225,85.0000,30.0000,12.0033,10.8875,9.7717,-2054116601.5265,1157434825.0000
2017-12-07,10.0705,10.19,9.95,10.04,10.04,32273896,0.0000,1.0,10.9465,10.9121,33.2142,17.2988,21.2046,-0.4415,-0.0800,-0.5216,21.4133,-150.3981,90.0000,0.0000,11.9772,10.9465,9.9158,-2024474255.5265,1192017562.0000
2017-12-06,9.9,10.05,9.71,10.0,10.0,38351614,0.0000,1.0,11.0300,11.0039,32.6082,15.1839,16.3505,-0.4215,-0.0855,-0.5070,20.9700,-205.2011,95.0000,0.0000,12.0233,11.0300,10.0367,-2016405781.5265,1159743666.0000
2017-12-05,9.89,10.34,9.7,9.91,9.91,66840417,0.0000,1.0,11.1325,11.1096,31.2753,14.4306,14.3413,-0.4002,-0.0769,-0.4771,20.2889,-236.7531,100.0000,5.0000,12.1023,11.1325,10.1627,-2043477509.0559,1121392052.0000
