,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
2004-03-05,21.85,22.7,21.77,22.19,6.79911028366,2957400,0.0000,1.0,7.0303,6.9603,46.5436,49.0352,40.8974,-0.0429,-0.0346,-0.0775,13.5104,-84.3059,90.0000,20.0000,6.6157,7.0303,7.4448,-528951821.5503,65733731.0000
2004-03-04,22.09,22.39,21.91,22.35,6.84813496349,3444600,0.0000,1.0,7.0312,6.9773,47.4250,39.2157,34.7857,-0.0343,-0.0388,-0.0731,13.6850,-84.6492,95.0000,25.0000,6.6186,7.0312,7.4438,-528093222.0342,74605926.0000
2004-03-03,22.1,22.1,21.51,21.87,6.70106092401,4604100,0.0000,1.0,7.0246,6.9909,44.4255,34.4414,32.0551,-0.0246,-0.0469,-0.0714,13.5928,-127.2634,100.0000,30.0000,6.5966,7.0246,7.4526,-536704717.0339,64272132.0000
2004-03-02,22.59,22.77,22.07,22.16,6.78991815619,6777900,0.0000,1.0,7.0347,7.0214,45.9295,30.7001,27.0637,-0.0129,-0.0404,-0.0533,13.2277,-78.1791,10.0000,35.0000,6.6288,7.0347,7.4406,-539748103.6278,78084425.0000
2004-03-01,22.19,22.62,22.16,22.58,6.91860794074,4221900,0.0000,1.0,7.0416,7.0458,48.1734,31.0237,22.9173,-0.0027,-0.0357,-0.0384,13.2119,-66.9738,0.0000,40.0000,6.6481,7.0416,7.4352,-524643077.5128,98418114.0000
2004-02-27,22.7,22.72,21.91,22.25,6.8174945386,4962900,0.0000,1.0,7.0366,7.0592,46.2119,19.4673,18.5882,0.0062,-0.0381,-0.0320,13.0582,-84.0026,0.0000,45.0000,6.6343,7.0366,7.4388,-535106041.2950,85752421.0000
2004-02-26,22.83,22.87,22.37,22.65,6.94005623817,2874800,0.0000,1.0,7.0314,7.0846,48.3176,18.2610,26.3384,0.0157,-0.0287,-0.0130,12.8964,-39.7221,5.0000,50.0000,6.6155,7.0314,7.4473,-532716498.1351,100641113.0000
2004-02-25,22.41,22.93,22.26,22.5,6.89409560083,5437600,0.0000,1.0,7.0301,7.0998,47.4648,18.0362,39.2143,0.0229,-0.0239,-0.0010,13.0252,-48.9410,10.0000,55.0000,6.6130,7.0301,7.4473,-533751425.5354,92016718.0000
2004-02-24,22.9,23.19,22.12,22.37,6.85426304847,5903200,0.0000,1.0,7.0321,7.1215,46.7412,42.7180,55.2712,0.0289,-0.0100,0.0189,13.1608,-53.7725,15.0000,60.0000,6.6173,7.0321,7.4470,-529125410.1768,75703927.0000
2004-02-23,24.1,24.14,22.98,23.3,7.13921899997,7111100,0.0000,1.0,7.0571,7.1496,51.5682,56.8887,58.8978,0.0314,0.0168,0.0481,13.3035,50.7156,20.0000,65.0000,6.6282,7.0571,7.4860,-519691328.9898,93413518.0000
