,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
2016-02-12,94.19,94.5,93.01,93.99,21.8514283336,40351381,0.0000,1.0,22.2684,22.3827,40.2661,34.5942,30.5135,-0.5949,0.0687,-0.5263,32.7336,-91.9976,45.0000,30.0000,21.3242,22.2684,23.2127,68003715305.8600,88114218226.0000
2016-02-11,93.79,94.72,92.59,93.7,21.7840071801,50074711,0.0000,1.0,22.3265,22.4386,39.6916,35.8893,33.2537,-0.6121,0.0694,-0.5427,32.7792,-105.7450,50.0000,35.0000,21.3497,22.3265,23.3034,67952802153.9486,87952812702.0000
2016-02-10,95.92,96.35,94.1,94.27,21.9165246197,42343601,0.0000,1.0,22.3634,22.5075,40.4175,40.1708,40.0155,-0.6294,0.0806,-0.5488,32.8272,-56.3170,55.0000,40.0000,21.4160,22.3634,23.3107,67944338822.4949,88153111546.0000
2016-02-09,94.29,95.94,93.93,94.99,22.0839150697,44331195,0.0000,1.0,22.4233,22.5697,41.3244,45.9849,34.3987,-0.6496,0.0873,-0.5622,33.1092,-58.8702,60.0000,45.0000,21.4455,22.4233,23.4011,68088118872.0853,88322485950.0000
2016-02-08,93.13,95.7,93.04,95.01,22.0885648045,54021375,0.0000,1.0,22.4583,22.6208,41.3489,57.0492,46.0981,-0.6714,0.0832,-0.5882,33.2924,-78.5471,65.0000,50.0000,21.4814,22.4583,23.4352,68078414530.9211,88499810730.0000
2016-02-05,96.52,96.92,93.69,94.02,21.8584029357,46418064,0.0000,1.0,22.4749,22.6769,39.6679,60.5507,57.4578,-0.6922,0.0790,-0.6133,33.4204,-73.5192,70.0000,55.0000,21.5126,22.4749,23.4373,67974433538.4021,88283725230.0000
2016-02-04,95.86,97.33,95.19,96.6,22.458218715,46471652,0.5200,1.0,22.4972,22.7630,42.6976,57.3942,67.5916,-0.7120,0.0991,-0.6129,33.6464,-15.8148,75.0000,0.0000,21.5731,22.4972,23.4213,68122166571.7858,88469397486.0000
2016-02-03,95.0,96.84,94.08,96.35,22.2801624093,45964294,0.0000,1.0,22.5386,22.7951,41.4362,48.2350,56.6025,-0.7367,0.0722,-0.6645,34.1013,-66.4830,80.0000,0.0000,21.5530,22.5386,23.5241,68063099799.1482,88283510878.0000
2016-02-02,95.42,96.04,94.28,94.48,21.8477399526,37357215,0.0000,1.0,22.6121,22.8493,38.3028,37.5602,47.9884,-0.7548,0.0521,-0.7027,34.3263,-100.5411,85.0000,5.0000,21.5029,22.6121,23.7213,67944525243.6230,88099653702.0000
2016-02-01,96.47,96.71,95.4,96.43,22.2986617657,40943541,0.0000,1.0,22.7378,22.9548,40.4466,32.7404,40.1142,-0.7678,0.0707,-0.6972,34.3595,-67.6029,90.0000,0.0000,21.4485,22.7378,24.0270,68059992999.0709,88249082562.0000
