,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD,MACD_Hist,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2016-07-01,79.12,80.05,79.12,79.65,79.65,7270759,0.0000,1.0,77.6280,77.8806,54.0204,69.9609,89.1539,0.0510,0.2122,-0.1612,15.1657,142.0705,100.0000,80.0000,80.3516,77.6280,74.9044,-127994084.5380,343028657.0000
2016-06-30,78.31,79.76,78.28,79.53,79.53,12485338,0.0000,1.0,77.4765,77.6944,53.7892,49.6667,73.9214,-0.1192,0.0950,-0.2142,15.5374,126.2521,100.0000,85.0000,80.0672,77.4765,74.8858,-129010427.1939,335757898.0000
2016-06-29,76.98,78.48,76.9,78.04,78.04,11459983,0.0000,1.0,77.3650,77.5011,50.8745,38.9928,46.8074,-0.3226,-0.0846,-0.2379,15.8440,35.0573,0.0000,90.0000,79.7785,77.3650,74.9515,-137615187.1669,323272560.0000
2016-06-28,75.5,76.6,75.5,76.28,76.28,11258198,0.0000,1.0,77.2975,77.4444,47.1328,45.3065,28.2713,-0.4257,-0.2089,-0.2168,15.7827,-94.7176,0.0000,95.0000,79.7072,77.2975,74.8878,-142692394.8251,311812577.0000
2016-06-27,75.8,76.29,73.3,74.23,74.23,15251773,0.0000,1.0,77.5835,77.5670,42.2670,64.7642,41.8997,-0.3719,-0.2074,-0.1646,15.0883,-213.5528,5.0000,100.0000,80.6972,77.5835,74.4698,-147400368.5342,300554379.0000
2016-06-24,76.83,77.5,75.43,76.29,76.29,18223439,0.0000,1.0,77.9205,77.9183,46.3384,78.1270,65.7485,-0.0892,0.0236,-0.1127,14.2469,-107.5647,10.0000,55.0000,80.9677,77.9205,74.8733,-141636320.5442,315806152.0000
2016-06-23,79.16,79.46,78.55,79.14,79.14,8266228,0.0000,1.0,78.0235,78.0896,53.0555,80.0094,86.6445,0.0633,0.1819,-0.1186,13.7925,82.8101,15.0000,0.0000,80.9813,78.0235,75.0657,-138555062.7423,334029591.0000
2016-06-22,79.04,79.12,78.21,78.73,78.73,8170465,0.0000,1.0,77.8460,77.9791,52.1067,75.2873,81.9880,-0.0332,0.1309,-0.1641,14.1193,66.1692,20.0000,5.0000,80.9375,77.8460,74.7545,-141007679.8412,325763363.0000
2016-06-21,78.75,79.08,78.4,78.62,78.62,8880760,0.0000,1.0,77.9655,77.9000,51.8587,73.7892,71.3956,-0.1141,0.0827,-0.1968,14.3445,53.0236,25.0000,10.0000,81.3549,77.9655,74.5761,-142174889.1269,317592898.0000
2016-06-20,77.9,78.7899,77.84,78.15,78.15,9625641,0.0000,1.0,77.9845,77.8243,50.8251,78.5420,72.4784,-0.2046,0.0129,-0.2175,14.6350,21.2946,30.0000,15.0000,81.3925,77.9845,74.5765,-139040503.2446,308712138.0000
2016-06-17,78.45,78.45,76.48,77.0,77.0,15582575,0.0000,1.0,78.0165,77.7900,48.2421,75.0482,77.4937,-0.2692,-0.0485,-0.2207,14.8457,-42.6443,35.0000,20.0000,81.4421,78.0165,74.5909,-135697520.8613,299086497.0000
2016-06-16,77.84,78.4,76.2,78.27,78.27,13568308,0.0000,1.0,78.0825,77.8731,51.0557,60.4868,85.6541,-0.2307,-0.0222,-0.2085,14.9579,-25.9281,40.0000,25.0000,81.4780,78.0825,74.6870,-128341279.8714,314669072.0000
2016-06-15,78.31,78.7686,77.51,78.39,78.39,14732724,0.0000,1.0,78.1205,77.8313,51.3243,41.6780,61.9969,-0.3075,-0.1045,-0.2030,15.0605,7.3189,45.0000,30.0000,81.5404,78.1205,74.7006,-140306060.5623,328237380.0000
2016-06-14,76.89,78.45,76.75,77.77,77.77,22354692,0.0000,1.0,78.1685,77.7725,50.0337,36.5478,33.8094,-0.4132,-0.2363,-0.1769,15.4899,-29.3831,50.0000,35.0000,81.6289,78.1685,74.7081,-146175270.6478,313504656.0000
2016-06-13,75.25,76.455,74.85,75.45,75.45,11296577,0.0000,1.0,78.2445,77.7728,44.8338,45.5140,29.2278,-0.4791,-0.3612,-0.1178,15.8492,-148.4844,55.0000,40.0000,81.7332,78.2445,74.7558,-150646209.0478,291149964.0000
2016-06-10,76.43,77.05,75.76,75.92,75.92,10421059,0.0000,1.0,78.3300,78.0173,45.7501,52.8497,46.6062,-0.3199,-0.2924,-0.0275,15.6052,-128.2860,60.0000,45.0000,81.6187,78.3300,75.0413,-147795670.9263,302446541.0000
2016-06-09,77.39,78.07,76.78,77.56,77.56,8993749,0.0000,1.0,78.4920,78.2381,49.0749,48.3880,60.7079,-0.1600,-0.2056,0.0456,15.5553,-65.5868,65.0000,50.0000,81.6043,78.4920,75.3797,-139959680.8255,312867600.0000
2016-06-08,78.0,78.53,77.375,77.64,77.64,11614055,0.0000,1.0,78.6040,78.3095,49.2407,35.4041,51.2348,-0.1205,-0.2175,0.0970,15.7472,-48.3658,70.0000,55.0000,81.7353,78.6040,75.4727,-141842093.4069,321861349.0000
2016-06-07,78.19,78.37,77.32,77.84,77.84,12877981,0.0000,1.0,78.7080,78.3799,49.6391,25.0564,33.2212,-0.0764,-0.2278,0.1514,16.0965,-54.0963,75.0000,60.0000,81.8425,78.7080,75.5735,-135557431.6104,333475404.0000
2016-06-06,77.11,78.33,76.7,78.06,78.06,19165801,0.0000,1.0,78.7865,78.4368,50.0624,30.1824,21.7561,-0.0395,-0.2478,0.2083,16.4172,-69.7234,80.0000,65.0000,81.9087,78.7865,75.6643,-135434784.1723,346353385.0000
2016-06-03,77.24,77.8,75.71,76.62,76.62,23683656,0.0000,1.0,78.8435,78.4764,47.2664,48.1950,20.1918,-0.0142,-0.2845,0.2703,16.7435,-145.6661,85.0000,70.0000,81.9521,78.8435,75.7349,-148251178.7061,327187584.0000
2016-06-02,76.65,77.75,76.56,77.3,77.3,45379470,0.0000,1.0,78.9540,78.6718,48.4842,69.6559,48.5991,0.1649,-0.1765,0.3414,16.9411,-138.4520,90.0000,75.0000,81.8910,78.9540,76.0170,-145191567.6439,350871240.0000
2016-06-01,79.15,80.14,76.55,76.69,76.69,62508123,0.0000,1.0,78.8800,78.8162,47.3277,72.8505,75.7942,0.3219,-0.0636,0.3855,17.3315,-76.6987,95.0000,80.0000,82.0457,78.8800,75.7143,-156250430.0808,305491770.0000
2016-05-31,81.0,82.03,80.2,82.0,82.0,78804245,0.0000,1.0,78.8410,79.0401,58.1171,66.9363,84.5746,0.5797,0.1783,0.4014,17.7425,161.1161,100.0000,85.0000,82.1304,78.8410,75.5516,-98617592.4402,367999893.0000
2016-05-27,78.49,81.0,78.39,80.97,80.97,24547448,0.0000,1.0,78.5715,78.7285,56.2804,57.5415,58.1827,0.3597,0.0029,0.3568,18.3079,92.0249,85.0000,90.0000,81.6585,78.5715,75.4845,-174838091.7025,289195648.0000
2016-05-26,76.99,78.865,76.8,78.35,78.35,26964256,0.0000,1.0,78.3700,78.4925,51.0984,59.7808,58.0518,0.1785,-0.1776,0.3561,19.1550,-20.4939,90.0000,95.0000,81.3278,78.3700,75.4122,-198821230.5530,264648200.0000
