,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2008-09-25,117.75,121.99,116.12,120.11,81.7930151097,6539200,0.0000,1.0,79.8709,80.3457,50.3020,45.9476,43.9773,0.3428,-1.0328,-1.3756,12.9849,59.4140,5.0000,70.0000,79.8709,75.9970,83.7449,-38298886.6327,188371000.0000
2008-09-24,116.93,118.17,114.26,116.46,79.3074226931,6574100,0.0000,1.0,79.9823,80.1934,45.1433,39.7058,45.9257,0.1418,-1.3195,-1.4613,13.3997,-41.8232,10.0000,75.0000,79.9823,75.7797,84.1849,-40649433.8219,181831800.0000
2008-09-23,116.21,118.17,114.14,115.36,78.558340047,8012800,0.0000,1.0,80.1879,80.2867,43.4631,46.2783,46.3987,0.0836,-1.4131,-1.4967,13.7030,-57.4732,15.0000,80.0000,80.1879,75.7420,84.6338,-41473298.0160,175257700.0000
2008-09-22,118.45,120.14,116.02,116.21,79.1371766372,8844000,0.0000,1.0,80.4433,80.4686,44.4628,51.7931,42.4184,0.0818,-1.4359,-1.5176,14.0222,-23.7885,20.0000,85.0000,80.4433,75.8181,85.0686,-38311920.3483,183270500.0000
2008-09-19,119.59,124.0,117.5,118.85,80.9349749878,14432600,0.0000,1.0,80.7402,80.6087,47.7001,41.1248,31.2465,0.0352,-1.5029,-1.5381,14.6666,29.1435,25.0000,90.0000,80.7402,75.7412,85.7392,-30283629.0861,192114500.0000
2008-09-18,112.91,118.59,111.04,115.12,78.3949038334,15995000,0.0000,1.0,80.8812,80.5744,42.0354,34.3374,31.4513,-0.2028,-1.7497,-1.5469,15.2748,-82.8712,30.0000,95.0000,80.8812,75.7120,86.0503,-21846109.0861,177681900.0000
2008-09-17,114.79,115.5,110.61,111.47,75.9093114168,12298000,0.0000,1.0,81.1328,80.8038,35.5454,18.2774,39.2253,-0.2845,-1.7806,-1.4962,15.1763,-139.1547,35.0000,100.0000,81.1328,75.9823,86.2833,-23138420.3448,161686900.0000
2008-09-16,113.73,117.64,113.32,116.05,79.0282191614,13673200,0.0000,1.0,81.5104,81.3190,41.0203,41.7390,59.9071,-0.1160,-1.5411,-1.4250,14.2838,-89.5607,0.0000,65.0000,81.5104,76.8645,86.1563,-15166097.2364,173984900.0000
2008-09-15,115.36,118.41,115.19,115.19,78.442572729,9908300,0.0000,1.0,81.8012,81.5602,39.3540,57.6595,67.4833,-0.1345,-1.5305,-1.3960,13.7706,-86.1591,0.0000,70.0000,81.8012,77.0857,86.5167,-18774302.7919,160311700.0000
2008-09-12,118.66,119.28,116.82,118.97,81.0166930946,6635100,0.0000,1.0,82.1815,81.8883,44.6174,80.3230,64.0975,-0.0727,-1.4351,-1.3624,13.5696,-51.4339,0.0000,75.0000,82.1815,77.3846,86.9785,-8866002.7919,170220000.0000
2008-09-11,116.6,119.37,116.11,119.2,81.1733194661,9737400,0.0000,1.0,82.4529,81.9801,44.9651,64.4674,46.3664,-0.2103,-1.5546,-1.3442,13.6859,-61.2036,5.0000,80.0000,82.4529,77.3462,87.5596,-13828841.8158,176855100.0000
2008-09-10,116.4,119.95,116.1,118.04,80.3833777666,11852200,0.0000,1.0,82.6776,82.0650,42.8309,47.5022,30.3996,-0.4087,-1.7004,-1.2917,13.8083,-73.7521,10.0000,85.0000,82.6776,77.4225,87.9327,-22550684.7609,167117700.0000
2008-09-09,117.78,118.1,115.0,115.04,78.3404250955,8106300,0.0000,1.0,82.9221,82.2420,36.8106,27.1296,19.3022,-0.5918,-1.7813,-1.1895,13.9372,-127.7036,0.0000,90.0000,82.9221,77.6617,88.1825,-22643039.5660,155265500.0000
2008-09-08,118.0,118.28,115.14,117.29,79.8726395988,10452800,0.0000,1.0,83.3157,82.6527,39.7966,16.5671,14.5561,-0.6091,-1.6507,-1.0416,13.6075,-133.5301,0.0000,95.0000,83.3157,78.3138,88.3176,-14745934.4051,163371800.0000
2008-09-05,114.15,115.09,113.17,114.33,77.8569262966,8811400,0.0000,1.0,83.7079,82.9453,33.0047,14.2099,13.8725,-0.7267,-1.6160,-0.8893,13.2846,-222.6039,0.0000,100.0000,83.7079,78.6179,88.7979,-18607478.3541,152919000.0000
2008-09-04,117.99,118.9,114.9,115.0,78.3131857265,10133800,0.0000,1.0,84.2091,83.4810,33.8253,12.8912,19.1972,-0.6353,-1.3429,-0.7076,12.0506,-207.1149,5.0000,100.0000,84.2091,79.5681,88.8502,-20443186.6875,161730400.0000
2008-09-03,118.34,118.65,115.15,118.34,80.5876730337,11316600,0.0000,1.0,84.6913,84.0249,38.3395,14.5162,29.6366,-0.4726,-1.0213,-0.5488,11.0141,-209.4922,10.0000,100.0000,84.6913,80.6336,88.7489,-10816076.6877,171864200.0000
2008-09-02,122.87,124.0,117.9,118.41,80.6353419294,11749800,0.0000,1.0,85.0329,84.3868,38.4417,30.1841,41.7734,-0.3970,-0.8276,-0.4306,9.9625,-158.0952,15.0000,100.0000,85.0329,81.2754,88.7904,-20128021.8310,183180800.0000
2008-08-29,123.71,123.99,121.63,121.73,82.8962095521,7156000,0.0000,1.0,85.3277,84.7816,43.6858,44.2095,43.8542,-0.2418,-0.5731,-0.3314,9.3245,-101.0584,20.0000,85.0000,85.3277,82.1101,88.5453,-10342942.4868,194930600.0000
2008-08-28,124.06,125.45,123.58,124.58,84.8370145896,5448200,0.0000,1.0,85.4783,84.9801,49.1543,50.9266,42.7250,-0.1993,-0.4702,-0.2709,9.4717,-36.9653,25.0000,90.0000,85.4783,82.4539,88.5026,-3793383.1650,202086600.0000
2008-08-27,122.42,124.85,122.18,123.38,84.0198335212,5843800,0.0000,1.0,85.5772,84.9952,46.4742,36.4263,39.3077,-0.3085,-0.5296,-0.2211,9.7723,-79.7880,30.0000,95.0000,85.5772,82.5140,88.6405,-4172135.0363,196638400.0000
2008-08-26,122.58,122.85,121.5,122.5,83.4205674043,6218200,0.0000,1.0,85.7469,85.0978,44.4338,40.8220,37.7837,-0.3706,-0.5145,-0.1440,10.2572,-132.5405,35.0000,100.0000,85.7469,82.6716,88.8222,-3581188.9692,190794600.0000
2008-08-25,124.48,124.93,122.7,122.86,83.6657217249,5827400,0.0000,1.0,85.9058,85.2744,45.1020,40.6746,28.8829,-0.3754,-0.4268,-0.0513,10.2108,-107.4891,40.0000,90.0000,85.9058,83.0042,88.8074,-6575137.1173,197012800.0000
2008-08-22,123.3,125.35,122.8,124.93,85.0753590679,5989200,0.0000,1.0,86.0047,85.4437,49.1385,31.8544,19.4068,-0.3761,-0.3335,0.0425,10.4981,-87.2199,45.0000,95.0000,86.0047,83.2861,88.7232,-1583955.9515,202840200.0000
