,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Upper Band,Real Lower Band,Chaikin A/D,OBV
2004-08-10,73.38,75.81,73.37,75.74,15.6431202316,10197600,0.0000,1.0,16.0340,16.0986,41.5982,14.8730,27.6171,-0.0292,-0.5341,-0.5049,29.6318,-77.8406,5.0000,35.0000,16.0340,17.2434,14.8246,1847669709.5867,2038300100.0000
2004-08-09,74.02,74.6,72.82,72.97,15.0710124544,7231400,0.0000,1.0,16.1129,16.1466,35.1567,8.0988,8.0366,-0.0668,-0.5644,-0.4976,29.3613,-126.0137,10.0000,40.0000,16.1129,17.4125,14.8133,1828444725.9757,2017904900.0000
2004-08-06,72.98,75.6,72.57,73.76,15.2341767663,14075000,0.0000,1.0,16.2283,16.2598,36.2396,16.4654,8.9652,-0.0556,-0.5365,-0.4809,28.6890,-124.2738,15.0000,45.0000,16.2283,17.5473,14.9094,1840469975.4176,2032367700.0000
2004-08-05,76.32,76.38,73.6999,73.79,15.2403728794,10469700,0.0000,1.0,16.3318,16.3678,36.2800,31.5293,7.2947,-0.0427,-0.5097,-0.4670,27.9813,-114.7639,20.0000,50.0000,16.3318,17.6473,15.0163,1846508754.3009,2060517700.0000
2004-08-04,76.45,77.83,75.38,75.8,15.6555124578,11356000,0.0000,1.0,16.4336,16.4864,39.0448,55.5707,33.1363,-0.0124,-0.4687,-0.4564,27.3834,-80.8326,0.0000,55.0000,16.4336,17.7101,15.1572,1866040266.5832,2081457100.0000
2004-08-03,78.7,79.61,76.64,77.08,15.9198799505,6884800,0.0000,1.0,16.5480,16.5739,40.9319,72.5123,54.1570,0.0014,-0.4519,-0.4533,26.9876,-52.2450,0.0000,60.0000,16.5480,17.9303,15.1656,1880965295.1570,2104169100.0000
2004-08-02,77.44,79.21,77.44,79.15,16.3474117551,5815400,0.0000,1.0,16.6797,16.6427,44.2151,83.1153,79.4187,0.0029,-0.4507,-0.4536,26.7595,-41.5001,0.0000,65.0000,16.6797,18.2824,15.0771,1890655013.6761,2117938700.0000
2004-07-30,79.29,79.37,77.92,78.33,16.1780513301,6408900,0.0000,1.0,16.8049,16.6738,42.4788,79.0219,83.9612,-0.0318,-0.4862,-0.4544,26.6434,-48.8359,0.0000,70.0000,16.8049,18.6559,14.9539,1879812742.4884,2106307900.0000
2004-07-29,79.88,80.34,78.46,79.47,16.4135036283,8604500,0.0000,1.0,16.9315,16.7260,44.2999,67.4926,85.9660,-0.0608,-0.5072,-0.4464,26.5958,-40.8678,0.0000,75.0000,16.9315,18.9339,14.9291,1885381855.5917,2119125700.0000
2004-07-28,78.26,79.37,77.01,78.79,16.2730583978,11717200,0.0000,1.0,17.0604,16.7589,42.9131,51.8191,67.1386,-0.1194,-0.5506,-0.4312,26.6287,-62.8532,5.0000,80.0000,17.0604,19.2371,14.8837,1884100334.3110,2101916700.0000
2004-07-27,74.88,78.87,74.66,78.46,16.2049011536,15069700,0.0000,1.0,17.1949,16.8100,42.2502,38.9554,49.3732,-0.1823,-0.5836,-0.4013,26.4074,-86.4747,0.0000,85.0000,17.1949,19.4898,14.9001,1872184537.6972,2078482300.0000
2004-07-26,74.731,75.24,73.28,74.27,15.3395106892,10518500,0.0000,1.0,17.3431,16.8737,32.8439,31.4060,38.9456,-0.2546,-0.6104,-0.3558,26.0417,-138.1093,5.0000,90.0000,17.3431,19.7435,14.9428,1847915519.6442,2048342900.0000
2004-07-23,77.14,77.18,74.5,75.01,15.4923481459,10657700,0.0000,1.0,17.5130,17.0352,33.7667,23.9590,28.5474,-0.2555,-0.5476,-0.2921,24.5808,-131.4701,10.0000,95.0000,17.5130,19.8004,15.2256,1847700856.3828,2069379900.0000
2004-07-22,71.94,77.41,71.45,77.39,15.9839064526,31633000,0.0000,1.0,17.6548,17.1976,36.9376,20.6578,26.7249,-0.2468,-0.4750,-0.2282,23.1680,-149.3073,15.0000,100.0000,17.6548,19.7685,15.5411,1860903678.7696,2090695300.0000
2004-07-21,80.45,80.49,76.6,76.6,15.8207421407,15499800,0.0000,1.0,17.7680,17.3254,35.0132,18.2507,16.6046,-0.2590,-0.4255,-0.1666,21.6810,-133.2483,20.0000,100.0000,17.7680,19.7500,15.7859,1798062282.7992,2027429300.0000
2004-07-20,78.64,80.48,78.49,79.95,16.512641438,10335600,0.0000,1.0,17.8775,17.4838,39.9206,23.2871,18.6441,-0.2377,-0.3396,-0.1018,20.7393,-124.3284,25.0000,95.0000,17.8775,19.6479,16.1072,1829061882.7992,2058428900.0000
2004-07-19,80.3,80.36,77.22,78.5,16.2131626377,14922700,0.0000,1.0,17.9381,17.5860,36.2463,29.2216,19.5035,-0.2529,-0.2953,-0.0424,20.0435,-161.7403,30.0000,100.0000,17.9381,19.5969,16.2793,1819401472.7545,2037757700.0000
