,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD,MACD_Hist,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2005-01-10,11.1,11.74,11.1,11.27,1.60999839,1419200,0.0000,1.0,1.7330,1.6812,44.6126,9.4483,12.7144,0.0022,-0.0202,-0.0224,12.1055,-86.4931,95.0000,20.0000,1.5375,1.9286,1.7330,-506841793.0171,-276847105.0000
2005-01-07,11.11,11.55,11.0,11.12,1.58856984,1070100,0.0000,1.0,1.7364,1.6887,43.2876,11.7212,5.1605,0.0078,-0.0162,-0.0240,12.6619,-109.0594,100.0000,25.0000,1.5472,1.9256,1.7364,-502185038.7983,-286781514.0000
2005-01-06,11.2,11.37,11.01,11.05,1.57856985,1181900,0.0000,1.0,1.7407,1.6992,42.6797,22.1177,10.4700,0.0138,-0.0087,-0.0225,13.0733,-123.9226,100.0000,30.0000,1.5616,1.9199,1.7407,-497963003.9438,-294272221.0000
2005-01-05,11.74,11.74,11.09,11.2,1.5999984,1818900,0.0000,1.0,1.7426,1.7119,43.6318,37.3610,19.5332,0.0194,0.0021,-0.0173,13.3397,-107.4637,100.0000,35.0000,1.5696,1.9156,1.7426,-491528208.8327,-285998913.0000
2005-01-04,11.92,11.95,11.25,11.66,1.66571262,2478900,0.0000,1.0,1.7460,1.7237,46.6645,56.6083,36.3498,0.0238,0.0136,-0.0102,13.6826,-78.4624,65.0000,40.0000,1.5818,1.9102,1.7460,-483105294.7404,-273266601.0000
2005-01-03,12.48,12.6,11.52,11.92,1.70285544,1619200,0.0000,1.0,1.7427,1.7298,48.4737,69.7057,56.1999,0.0263,0.0214,-0.0049,14.1670,-26.4445,70.0000,45.0000,1.5698,1.9156,1.7427,-486079977.6547,-255914284.0000
2004-12-31,12.81,12.81,12.23,12.33,1.76142681,1404400,0.0000,1.0,1.7382,1.7326,51.4626,69.2169,77.2753,0.0276,0.0273,-0.0002,14.8885,29.1390,75.0000,50.0000,1.5572,1.9193,1.7382,-483141426.6547,-244579873.0000
2004-12-30,12.71,13.0,12.49,12.68,1.81142676,1489100,0.0000,1.0,1.7312,1.7296,54.1714,53.2467,75.6419,0.0276,0.0284,0.0008,15.0812,62.9918,0.0000,55.0000,1.5436,1.9189,1.7312,-476700551.7926,-234749064.0000
2004-12-29,12.5,12.75,12.18,12.63,1.80428391,2314500,0.0000,1.0,1.7210,1.7210,53.8417,33.4570,54.7334,0.0274,0.0244,-0.0030,15.0347,48.8498,5.0000,60.0000,1.5297,1.9123,1.7210,-474043527.6749,-245172774.0000
2004-12-28,11.62,12.25,11.47,12.1,1.7285697,2146000,0.0000,1.0,1.7121,1.7122,50.2361,19.3815,29.3648,0.0282,0.0196,-0.0086,15.1649,-7.6372,10.0000,65.0000,1.5205,1.9037,1.7121,-483423352.7276,-261374290.0000
2004-12-27,11.85,11.9,11.54,11.6,1.6571412,1052800,0.0000,1.0,1.7072,1.7105,46.4900,14.8493,16.2729,0.0303,0.0209,-0.0094,15.6852,-32.6056,15.0000,70.0000,1.5127,1.9018,1.7072,-492667669.6507,-276396305.0000
2004-12-23,11.82,11.85,11.12,11.53,1.64714121,3940500,0.0000,1.0,1.7055,1.7161,45.9488,19.4372,12.5069,0.0326,0.0295,-0.0031,16.4962,-49.1422,0.0000,75.0000,1.5084,1.9025,1.7055,-487754598.3173,-283765912.0000
2004-12-22,11.78,12.0,11.41,11.7,1.6714269,5745700,0.0000,1.0,1.7042,1.7233,47.0466,32.9856,15.7681,0.0334,0.0411,0.0077,17.3074,-25.7662,5.0000,80.0000,1.5055,1.9030,1.7042,-491155307.1255,-256182385.0000
2004-12-21,13.03,13.03,12.48,12.6,1.7999982,1520100,0.0000,1.0,1.6989,1.7288,53.4713,50.1949,30.0366,0.0315,0.0529,0.0214,18.0345,77.3125,10.0000,85.0000,1.4913,1.9065,1.6989,-490473613.2272,-215962445.0000
2004-12-20,13.289,13.49,12.67,12.7,1.8142839,1692900,0.0000,1.0,1.6897,1.7213,54.2533,65.5218,53.1521,0.0261,0.0540,0.0279,17.7458,115.2150,15.0000,90.0000,1.4845,1.8948,1.6897,-484476122.1363,-205321735.0000
2004-12-17,13.46,13.6,12.75,12.98,1.85428386,2480800,0.0000,1.0,1.6793,1.7115,56.4494,74.5909,67.3961,0.0192,0.0532,0.0340,17.2226,155.6257,20.0000,95.0000,1.4795,1.8791,1.6793,-473492907.0632,-193471424.0000
2004-12-16,13.3,13.82,12.7,13.36,1.90856952,3286800,0.0000,1.0,1.6717,1.6965,59.5577,77.7957,76.0171,0.0107,0.0474,0.0367,16.5798,215.9861,0.0000,100.0000,1.4882,1.8553,1.6717,-465525153.3808,-176105807.0000
2004-12-15,12.99,13.53,12.65,12.815,1.830712455,3508700,0.0000,1.0,1.6510,1.6742,56.2775,75.6044,80.3596,0.0015,0.0336,0.0322,15.9033,232.3261,5.0000,100.0000,1.4866,1.8155,1.6510,-469633657.4879,-199113430.0000
2004-12-14,12.7,12.82,12.3,12.6,1.7999982,2959000,0.0000,1.0,1.6368,1.6577,54.9068,63.6880,77.0104,-0.0065,0.0236,0.0301,15.3652,212.4064,10.0000,95.0000,1.4885,1.7851,1.6368,-454283079.9879,-223674354.0000
2004-12-13,12.02,12.93,11.96,12.78,1.82571246,3631200,0.0000,1.0,1.6270,1.6427,56.3109,52.5952,69.4432,-0.0141,0.0135,0.0276,15.2743,263.7126,15.0000,100.0000,1.4986,1.7554,1.6270,-457469698.4495,-202961334.0000
2004-12-10,12.05,12.09,11.7,11.74,1.67714118,1209600,0.0000,1.0,1.6133,1.6235,49.1775,40.6106,44.6106,-0.0210,-0.0021,0.0189,15.1786,145.2478,20.0000,25.0000,1.5185,1.7081,1.6133,-475026754.8928,-228379759.0000
2004-12-09,11.29,11.82,11.22,11.73,1.67571261,2257600,0.0000,1.0,1.6062,1.6178,49.1015,39.1792,43.7318,-0.0257,-0.0069,0.0188,15.7335,87.7386,25.0000,30.0000,1.5105,1.7020,1.6062,-468296410.0723,-236846967.0000
2004-12-08,11.93,12.15,11.3,11.31,1.61571267,1815600,0.0000,1.0,1.5966,1.6117,45.8758,36.7533,33.4893,-0.0304,-0.0128,0.0176,16.5588,89.8144,30.0000,35.0000,1.4923,1.7009,1.5966,-479358660.5723,-252650182.0000
2004-12-07,11.2,12.15,11.2,11.67,1.66714119,4446600,0.0000,1.0,1.5919,1.6113,48.3721,40.8010,40.3166,-0.0348,-0.0140,0.0208,17.3554,115.1977,35.0000,40.0000,1.4833,1.7006,1.5919,-466948488.8546,-239940970.0000
2004-12-06,11.3,11.41,11.15,11.2,1.5999984,1091000,0.0000,1.0,1.5861,1.6054,44.6357,45.9057,36.4541,-0.0400,-0.0206,0.0194,18.1938,31.7278,40.0000,45.0000,1.4819,1.6904,1.5861,-466620844.3178,-271067201.0000
2004-12-03,11.35,11.45,11.2,11.3,1.6142841,1332600,0.0000,1.0,1.5841,1.6060,45.2983,55.2287,45.6324,-0.0449,-0.0219,0.0230,18.5554,49.4822,0.0000,50.0000,1.4795,1.6888,1.5841,-461921147.7024,-263430194.0000
2004-12-02,11.16,11.43,11.14,11.35,1.62142695,1535400,0.0000,1.0,1.5789,1.6051,45.6200,61.5549,55.6305,-0.0506,-0.0246,0.0260,18.9750,52.7640,0.0000,55.0000,1.4705,1.6874,1.5789,-460055505.9024,-254101985.0000
2004-12-01,11.35,11.52,11.05,11.25,1.60714125,2351000,0.0000,1.0,1.5701,1.6034,44.8762,61.7920,64.4231,-0.0571,-0.0285,0.0286,19.3981,52.1882,0.0000,60.0000,1.4492,1.6911,1.5701,-464873489.6955,-264849795.0000
2004-11-30,11.51,11.6,11.06,11.38,1.62571266,1137800,0.0000,1.0,1.5606,1.6030,45.6473,54.7251,64.6111,-0.0643,-0.0316,0.0326,19.8435,71.7587,0.0000,65.0000,1.4236,1.6976,1.5606,-462422444.7593,-248392779.0000
2004-11-29,11.4,11.72,11.3,11.42,1.63142694,1536000,0.0000,1.0,1.5466,1.6006,45.8777,47.0271,56.3419,-0.0724,-0.0370,0.0354,20.3191,96.4529,5.0000,70.0000,1.3846,1.7087,1.5466,-463897371.9816,-240428172.0000
2004-11-26,11.44,11.48,11.25,11.35,1.62142695,625400,0.0000,1.0,1.5327,1.5974,45.4197,42.6054,43.2223,-0.0813,-0.0440,0.0373,20.9793,86.3380,10.0000,75.0000,1.3551,1.7103,1.5327,-459289367.6958,-251180182.0000
2004-11-24,10.92,11.48,10.68,11.36,1.62285552,1699100,0.0000,1.0,1.5201,1.5949,45.4719,48.0840,41.5171,-0.0906,-0.0511,0.0395,21.4850,69.1176,0.0000,80.0000,1.3340,1.7062,1.5201,-458718349.7828,-246802378.0000
2004-11-23,11.32,11.4,10.91,10.95,1.56428415,1578600,0.0000,1.0,1.5081,1.5919,42.9152,50.1343,43.0769,-0.1005,-0.0597,0.0408,22.0172,63.3346,5.0000,85.0000,1.3191,1.6971,1.5081,-467043947.4828,-258696089.0000
2004-11-22,11.1,11.49,11.1,11.31,1.61571267,1571100,0.0000,1.0,1.4986,1.5948,44.6620,52.4054,59.6581,-0.1107,-0.0638,0.0469,22.7162,94.0712,10.0000,90.0000,1.3027,1.6945,1.4986,-457797852.5644,-247645878.0000
2004-11-19,11.81,11.89,11.21,11.25,1.60714125,2970500,0.0000,1.0,1.4891,1.5926,44.3030,51.0786,47.6679,-0.1224,-0.0733,0.0491,23.5666,120.3315,15.0000,95.0000,1.2986,1.6797,1.4891,-458643830.2567,-258643588.0000
2004-11-18,11.8,12.28,11.52,11.92,1.70285544,11458400,0.0000,1.0,1.4788,1.5911,47.5769,58.7044,49.8901,-0.1347,-0.0836,0.0511,24.5273,189.3774,20.0000,100.0000,1.2926,1.6650,1.4788,-440296606.7273,-237850068.0000
2004-11-17,10.57,11.0,10.33,10.46,1.49428422,2893900,0.0000,1.0,1.4656,1.5793,38.1089,63.9679,55.6777,-0.1475,-0.1052,0.0423,25.7227,44.4289,25.0000,60.0000,1.3098,1.6213,1.4656,-444518126.7273,-318058948.0000
2004-11-16,10.65,10.87,10.33,10.82,1.54571274,2404500,0.0000,1.0,1.4630,1.5883,39.7924,57.5693,70.5454,-0.1581,-0.1100,0.0481,26.0725,59.7833,30.0000,65.0000,1.3075,1.6185,1.4630,-432121856.2796,-297801628.0000
2004-11-15,11.08,11.24,10.8,11.23,1.60428411,2090700,0.0000,1.0,1.4566,1.5928,41.7897,44.5538,65.6808,-0.1701,-0.1198,0.0503,26.3365,126.9784,35.0000,70.0000,1.3049,1.6084,1.4566,-445836424.8722,-280970112.0000
2004-11-12,10.729,11.2,10.68,10.86,1.55142702,1529800,0.0000,1.0,1.4469,1.5916,39.1722,36.9392,36.4819,-0.1826,-0.1365,0.0462,26.8661,121.2121,40.0000,0.0000,1.3100,1.5838,1.4469,-459806115.5085,-295605026.0000
