,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD_Signal,MACD,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2018-12-11,35.59,36.26,35.1,35.21,35.21,26238769,0.0000,1.0,37.3525,37.3699,40.9081,17.0022,6.9950,-0.1550,-0.8045,-0.9595,26.4391,-117.5374,75.0000,35.0000,37.3525,34.4413,40.2637,-781986376.5502,1514441254.0000
2018-12-10,34.83,35.72,34.53,34.8,34.8,33979652,0.0000,1.0,37.5475,37.5973,39.7033,33.0713,19.3192,-0.1070,-0.7657,-0.8727,26.2453,-167.6255,0.0000,40.0000,37.5475,34.7150,40.3800,-760723925.8088,1488202485.0000
2018-12-07,37.62,37.62,35.21,35.31,35.31,30619815,0.0000,1.0,37.8295,37.8917,40.6835,49.2137,24.6923,0.0315,-0.7390,-0.7075,25.8264,-119.0460,5.0000,45.0000,37.8295,35.0244,40.6346,-742163611.6912,1522182137.0000
2018-12-06,35.66,37.68,35.13,37.67,37.67,37494418,0.0000,1.0,38.1105,38.1635,45.6363,68.8745,55.2025,0.2087,-0.7469,-0.5382,25.5205,-78.3596,10.0000,50.0000,38.1105,35.2460,40.9750,-714084860.1767,1552801952.0000
2018-12-04,39.56,39.87,36.72,36.88,36.88,36616292,0.0000,1.0,38.2170,38.2154,43.4469,77.9877,67.7464,0.2444,-0.7990,-0.5546,25.1986,-23.8942,15.0000,55.0000,38.2170,35.2687,41.1653,-751285204.3100,1515307534.0000
2018-12-03,40.2,40.24,39.15,40.03,40.03,35829990,0.0000,1.0,38.3690,38.3560,51.2682,81.9794,83.6747,0.3730,-0.8601,-0.4871,25.1826,83.9180,20.0000,60.0000,38.3690,35.3988,41.3392,-718388662.6084,1551923826.0000
2018-11-30,37.75,38.63,36.94,38.56,38.56,28176043,0.0000,1.0,38.3835,38.1798,47.0417,78.3489,82.5420,0.2389,-0.9534,-0.7145,25.7531,-16.2271,25.0000,65.0000,38.3835,35.3783,41.3887,-740412601.4158,1516093836.0000
2018-11-29,38.3,38.71,37.73,37.91,37.91,23631284,0.0000,1.0,38.4615,38.1397,45.0393,69.5291,79.7216,0.1683,-1.0131,-0.8448,25.7271,-15.1179,30.0000,70.0000,38.4615,35.3625,41.5605,-766254534.3447,1487917793.0000
2018-11-28,37.29,39.0,35.995,38.71,38.71,42293708,0.0000,1.0,38.4520,38.1639,47.1225,57.1120,72.7832,0.1227,-1.0552,-0.9325,25.8978,-23.3014,35.0000,75.0000,38.4520,35.3452,41.5588,-751304130.1815,1511549077.0000
2018-11-27,36.09,37.45,36.02,37.0,37.0,21397318,0.0000,1.0,38.3170,38.1064,41.6413,45.4497,56.0824,-0.0265,-1.0859,-1.1124,26.0774,-67.1091,40.0000,0.0000,38.3170,35.0369,41.5971,-785434659.9319,1469255369.0000
