,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD,MACD_Hist,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
2015-09-16,253.04,262.88,252.88,262.25,52.45,4417081,0.0000,1.0,48.7110,49.7043,56.5411,91.9004,84.2847,-0.2261,0.2952,0.5213,18.6473,122.4985,20.0000,100.0000,44.1682,48.7110,53.2538,390874154.0365,1491124875.0000
2015-09-15,252.75,254.6,249.5,253.57,50.714,2933466,0.0000,1.0,48.6957,49.4153,52.5881,84.7293,76.5173,-0.3565,0.0705,0.4269,19.4923,70.8383,25.0000,5.0000,44.2016,48.6957,53.1898,371571510.0665,1469039470.0000
2015-09-14,251.1,254.25,249.67,253.19,50.638,2890851,0.0000,1.0,48.7099,49.2786,52.4080,76.2244,71.0411,-0.4632,-0.0407,0.4225,19.9400,68.4136,30.0000,10.0000,44.1886,48.7099,53.2312,362828631.0077,1454372140.0000
2015-09-11,247.64,250.24,244.73,250.24,50.048,2350844,0.0000,1.0,48.6095,49.1355,51.0368,68.5981,64.3483,-0.5688,-0.1742,0.3946,20.3920,42.3884,35.0000,15.0000,44.1756,48.6095,53.0434,355064991.8592,1439917885.0000
2015-09-10,247.23,250.7231,245.33,248.48,49.696,2709024,0.0000,1.0,48.5322,49.0395,50.2239,68.3006,58.0978,-0.6675,-0.2821,0.3854,20.6497,43.8596,40.0000,20.0000,44.1477,48.5322,52.9167,343310771.8592,1428163665.0000
2015-09-09,252.05,254.25,248.303,248.91,49.782,3390788,0.0000,1.0,48.4291,48.9704,50.4182,56.1461,51.4801,-0.7638,-0.3798,0.3840,20.9445,66.2065,45.0000,25.0000,44.0620,48.4291,52.7962,341033033.7627,1441708785.0000
2015-09-08,245.05,249.16,244.05,248.17,49.634,3138231,0.0000,1.0,48.3137,48.8849,50.1026,49.8467,52.3622,-0.8598,-0.5077,0.3521,21.3697,45.1336,50.0000,30.0000,43.9738,48.3137,52.6536,354526055.1214,1424754845.0000
2015-09-04,240.89,244.09,238.2,241.93,48.386,3689153,0.0000,1.0,48.2434,48.8061,47.4221,48.4475,59.4813,-0.9478,-0.6486,0.2993,21.5584,1.7211,55.0000,35.0000,43.9460,48.2434,52.5408,344914838.8494,1409063690.0000
2015-09-03,252.06,252.08,245.0,245.57,49.114,4194772,0.0000,1.0,48.2492,48.8503,48.8772,58.7923,69.8238,-1.0227,-0.6918,0.3308,21.4904,52.4969,60.0000,40.0000,43.9507,48.2492,52.5477,339998055.9886,1427509455.0000
2015-09-02,245.14,247.88,239.78,247.69,49.538,4629174,0.0000,1.0,48.2548,48.8226,49.7213,71.2040,80.9227,-1.1054,-0.8111,0.2943,21.6542,33.4430,65.0000,0.0000,43.9515,48.2548,52.5581,357594769.0395,1448483315.0000
