,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD,MACD_Hist,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2013-06-19,24.2,25.19,24.1,24.309,24.309,31790600,0.0000,1.0,23.9704,24.2857,45.5533,63.5647,55.7965,-0.4901,0.1593,-0.6493,17.9486,66.9892,0.0000,55.0000,23.9704,22.7885,25.1524,-1459484796.2230,223455600.0000
2013-06-18,24.09,24.69,24.08,24.21,24.21,36709100,0.0000,1.0,24.0380,24.2833,44.8397,54.6513,49.5645,-0.5581,0.1310,-0.6891,18.8691,27.7136,0.0000,60.0000,24.0380,22.6499,25.4260,-1439885453.8376,191665000.0000
2013-06-17,23.91,24.25,23.75,24.022,24.022,33664500,0.0000,1.0,24.1154,24.2910,43.5039,49.1734,51.0653,-0.6268,0.0951,-0.7219,19.5242,-16.9395,0.0000,65.0000,24.1154,22.5377,25.6931,-1418822855.4770,154955900.0000
2013-06-14,23.56,23.89,23.26,23.63,23.63,30677100,0.0000,1.0,24.2268,24.3193,40.6573,44.8689,58.3933,-0.6862,0.0595,-0.7457,19.8703,-61.3771,5.0000,70.0000,24.2268,22.3968,26.0569,-1421785331.4770,121291400.0000
2013-06-13,23.72,23.83,23.265,23.73,23.73,31189300,0.0000,1.0,24.3518,24.3919,41.1599,59.1537,65.0051,-0.7121,0.0485,-0.7605,19.9370,-65.3325,0.0000,75.0000,24.3518,22.3669,26.3367,-1427141650.5246,151968500.0000
2013-06-12,24.16,24.26,23.58,23.77,23.77,26445800,0.0000,1.0,24.4953,24.4616,41.3542,71.1572,60.4877,-0.7449,0.0277,-0.7726,19.9573,-50.2569,0.0000,80.0000,24.4953,22.3065,26.6841,-1447290490.3476,183157800.0000
2013-06-11,24.03,24.35,24.0,24.03,24.03,29885900,0.0000,1.0,24.6603,24.5344,42.5956,64.7043,42.9731,-0.7801,-0.0006,-0.7796,20.1545,-38.2874,0.0000,85.0000,24.6603,22.2308,27.0899,-1435623225.6417,209603600.0000
2013-06-10,24.06,24.6,23.99,24.33,24.33,58393000,0.0000,1.0,24.7998,24.5874,44.0449,45.6015,25.1371,-0.8402,-0.0608,-0.7794,20.6067,-32.7772,5.0000,90.0000,24.7998,22.2156,27.3840,-1410860622.7846,239489500.0000
2013-06-07,23.03,23.4,22.86,23.291,23.291,38699200,0.0000,1.0,24.9173,24.6145,36.9912,18.6135,16.0726,-0.9352,-0.1710,-0.7642,21.0827,-99.5438,0.0000,95.0000,24.9173,22.2181,27.6165,-1417561458.8502,181096500.0000
2013-06-06,22.99,23.09,22.67,22.97,22.97,31260700,0.0000,1.0,25.1048,24.7539,34.5704,11.1963,22.5129,-0.9370,-0.2155,-0.7215,20.6034,-125.0002,5.0000,100.0000,25.1048,22.3630,27.8466,-1440637648.4798,142397300.0000
2013-06-05,23.35,23.705,22.79,22.899,22.899,53819700,0.0000,1.0,25.3123,24.9416,34.0379,18.4079,36.0304,-0.8931,-0.2255,-0.6676,19.8060,-127.7400,0.0000,100.0000,25.3123,22.6204,28.0041,-1454035091.3369,111136600.0000
